rank,client_hash_id,content_hash_id,action_score,predicted_label,model_confidence,reason_code,action_label,total_impressions,clicks_a,ctr,avg_position,position_volatility,active_gsc_days,volume_tier
30,client_23a62021009f63c4,content_a9c4d942de724c8d,96.74,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,10887.0,103.0,0.0095,14.63,16.08,92,high
31,client_9958f0a7ae1df715,content_b9e6255b1a7c04b2,96.72,declining,0.96,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,16266.0,154.0,0.0095,7.77,8.01,92,high
32,client_9958f0a7ae1df715,content_29dd8ab4be8138c4,96.72,declining,0.9866666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,6710.0,67.0,0.01,21.19,20.66,92,high
33,client_23a62021009f63c4,content_a242ffa8160e1184,96.67,declining,0.9433333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,39318.0,541.0,0.0138,7.95,4.07,92,high
34,client_9958f0a7ae1df715,content_386616b93ad21d99,96.66,declining,0.9433333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,37613.0,364.0,0.0097,6.47,5.28,92,high
35,client_9958f0a7ae1df715,content_d515e7f6f85979d9,96.66,declining,0.9733333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,9335.0,86.0,0.0092,12.32,10.87,92,high
36,client_9958f0a7ae1df715,content_c899aef92518c714,96.65,declining,0.9666666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,11562.0,38.0,0.0033,20.44,22.98,92,high
37,client_9958f0a7ae1df715,content_6ac58dc72192030e,96.53,declining,1.0,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,4595.0,43.0,0.0094,19.09,20.13,92,high
38,client_9958f0a7ae1df715,content_886b8b91dcc085c6,96.51,declining,0.9766666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,7876.0,69.0,0.0088,13.05,11.46,92,high
39,client_9958f0a7ae1df715,content_63ef1ad18c0d3ed8,96.47,declining,0.9533333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,18050.0,176.0,0.0098,6.89,8.56,92,high
40,client_23a62021009f63c4,content_fd68c6271d521396,96.46,declining,0.9366666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,81924.0,556.0,0.0068,8.93,5.97,92,high
41,client_23a62021009f63c4,content_9a0d4c989475c9de,96.45,declining,0.94,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,35351.0,361.0,0.0102,6.63,5.07,92,high
42,client_23a62021009f63c4,content_42742ec1da806d60,96.41,declining,0.9366666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,58203.0,338.0,0.0058,8.89,11.29,91,high
