predicted_label,action_label,reason_code,n
worth_review,MANUAL_REVIEW,WEAK_CTR_POSITION_VOLATILITY,34519
worth_review,MANUAL_REVIEW,WEAK_CTR_REVIEW,21102
growing,PROTECT_AND_MONITOR,PREDICTED_GROWTH,13122
growing,PROTECT_AND_MONITOR,HIGH_VOLUME_GROWTH,11358
declining,REVIEW_AND_IMPROVE,PREDICTED_DECLINE,10571
worth_review,MANUAL_REVIEW,GENERAL_MANUAL_REVIEW,6631
declining,REVIEW_AND_IMPROVE,HIGH_VOLUME_DECLINE_RISK,5378
recovering,VERIFY_AND_PROTECT_RECOVERY,PREDICTED_RECOVERY,999
recovering,VERIFY_AND_PROTECT_RECOVERY,HIGH_CONFIDENCE_RECOVERY,253
